INFO:	hcController.py:__hcCheckConnectWithCloud():89	Hc send heardbeat to cloud
ERROR:	signalrServices.py:SendMesageToServer():79	Error when send data to cloud: Hub is not running you cand send messages
ERROR:	signalrServices.py:SignalrServicesInit():89	Exception when connect with signalr server: can only concatenate str (not "NoneType") to str
DEBUG:	hcController.py:__getAndSaveRefreshToken():58	Get RefreshToken and endUserId successful
INFO:	hcController.py:__hcUpdateRefreshToken():83	Update refresh Token
INFO:	hcController.py:__hcCheckConnectWithCloud():89	Hc send heardbeat to cloud
INFO:	hcController.py:HcCheckMqttConnect():115	Reconnect to mqtt
ERROR:	mqttServices.py:MqttConnect():92	Exception in connect to mqtt: [WinError 10061] No connection could be made because the target machine actively refused it
INFO:	hcController.py:__hcCheckConnectWithCloud():89	Hc send heardbeat to cloud
ERROR:	mqttServices.py:MqttConnect():92	Exception in connect to mqtt: [WinError 10061] No connection could be made because the target machine actively refused it
DEBUG:	hcController.py:__getAndSaveRefreshToken():58	Get RefreshToken and endUserId successful
INFO:	hcController.py:__hcUpdateRefreshToken():83	Update refresh Token
INFO:	hcController.py:__hcCheckConnectWithCloud():97	Update cloud disconnect status to db
INFO:	hcController.py:__hcCheckConnectWithCloud():89	Hc send heardbeat to cloud
ERROR:	mqttServices.py:MqttConnect():92	Exception in connect to mqtt: [WinError 10061] No connection could be made because the target machine actively refused it
ERROR:	mqttServices.py:MqttConnect():92	Exception in connect to mqtt: [WinError 10061] No connection could be made because the target machine actively refused it
INFO:	hcController.py:__hcCheckConnectWithCloud():89	Hc send heardbeat to cloud
ERROR:	mqttServices.py:MqttConnect():92	Exception in connect to mqtt: [WinError 10061] No connection could be made because the target machine actively refused it
INFO:	hcController.py:__hcCheckConnectWithCloud():89	Hc send heardbeat to cloud
ERROR:	mqttServices.py:MqttConnect():92	Exception in connect to mqtt: [WinError 10061] No connection could be made because the target machine actively refused it
2021-06-16 16:02:08,155:	INFO:	hcController.py:__hcCheckConnectWithCloud():95	Hc send heardbeat to cloud
2021-06-16 16:02:09,464:	DEBUG:	hcController.py:__getAndSaveRefreshToken():62	Get RefreshToken and endUserId successful
2021-06-16 16:02:09,470:	INFO:	hcController.py:__hcUpdateRefreshToken():89	Update refresh Token
2021-06-16 16:03:36,241:	ERROR:	hcController.py:HcCheckMqttConnect():141	Error when ping to mqtt
2021-06-16 16:03:36,244:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:03:36,246:	INFO:	hcController.py:__hcUpdateRefreshToken():89	Update refresh Token
2021-06-16 16:03:36,253:	INFO:	hcController.py:__hcCheckConnectWithCloud():95	Hc send heardbeat to cloud
2021-06-16 16:03:41,297:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:03:46,358:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:03:51,413:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:03:56,478:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:04:01,539:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:04:06,278:	INFO:	hcController.py:__hcUpdateRefreshToken():89	Update refresh Token
2021-06-16 16:04:06,584:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:04:11,643:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:04:16,711:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:04:21,773:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:04:26,840:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:05:46,490:	ERROR:	hcController.py:HcCheckMqttConnect():139	Error when ping to mqtt
2021-06-16 16:05:46,491:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:05:46,492:	INFO:	hcController.py:__hcUpdateRefreshToken():89	Update refresh Token
2021-06-16 16:05:46,503:	INFO:	hcController.py:__hcCheckConnectWithCloud():95	Hc send heardbeat to cloud
2021-06-16 16:05:51,496:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:05:56,499:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:06:01,504:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:06:06,506:	INFO:	hcController.py:__hcCheckConnectWithCloud():95	Hc send heardbeat to cloud
2021-06-16 16:06:06,510:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:06:11,516:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:06:16,499:	INFO:	hcController.py:__hcUpdateRefreshToken():89	Update refresh Token
2021-06-16 16:06:16,519:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:06:21,526:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
2021-06-16 16:06:26,513:	INFO:	hcController.py:__hcCheckConnectWithCloud():95	Hc send heardbeat to cloud
2021-06-16 16:06:26,531:	ERROR:	mqttServices.py:MqttConnect():95	Exception in connect to mqtt: [Errno 111] Connection refused
